fecha_hora;lat;lon;altitud;SOC;odometro;vel;AC;calefaccion;cargando;km_restantes;carga_bat_aux;ah_generados;ah_consumidos;ah_efectivos;aislacion_negativa;aislacion_positiva;aislacion_pack_bateria;capacidad_actual;contador_peak;tiempo_peak_amperaje;corriente_instantanea;temp_maxima_celda;temp_minima_celda;vol_maximo_celda;vol_minimo_celda;pot_consumida_accesorios;pot_total_consumida;pot_total_generada;freno_servicio;pot_gen_freno_umbral_1;pot_gen_freno_umbral_2;pot_gen_freno_umbral_3;pot_gen_freno_umbral_4;pot_gen_freno_umbral_5;pot_gen_freno_umbral_6;switch_freno;SoH;ac_encendido;estado_compresor_ac;vel_crucero_activada;vel_crucero_seteada;marcha;porc_acelerador
2022-11-17 23:14:03;-36.781864;-73.086532;2;88.0;1361.6;0.0;;;;;26700.0;0,0;0,0;0,0;57500;57500;0,000;57500;0;;1,7;28,0;25,0;3,322;3,318;10,6;10,6;0,0;;;;;;;;1;98,0;9;0;0;0;"N";0,0
2022-11-17 23:13:48;-36.78183;-73.086619;1;88.0;1361.6;0.0;;;;;26700.0;0,0;0,0;0,0;59999;59999;0,000;59999;0;;0,0;28,0;25,0;3,323;3,319;0,0;0,0;0,0;;;;;;;;1;98,0;9;0;0;0;"D";0,0
2022-11-17 23:13:41;-36.78183;-73.086619;1;88.0;1361.6;0.0;;;;;;0,0;0,0;0,0;56500;56500;0,000;56500;0;;0,0;28,0;25,0;3,321;3,317;0,0;0,0;0,0;0;;;;;;;0;98,0;9;0;0;0;"N";0,0
2022-11-17 23:12:08;-36.78183;-73.086619;1;88.0;1361.6;0.0;;;;;26700.0;-1,2;15,5;14,3;58500;58500;0,000;58500;3;;1,5;28,0;25,0;3,321;3,316;7903,4;7903,4;-618,9;0;;;;;;;0;98,0;9;0;0;0;"N";0,0
2022-11-17 23:10:16;-36.782987;-73.086192;8;88.0;1361.3;26.0;;;;;26700.0;-1,1;15,3;14,2;59500;59500;0,000;59500;3;;-19,3;28,0;25,0;3,324;3,32;7808,4;7808,4;-559,8;;;;;;;;1;98,0;9;0;0;0;"D";0,0
2022-11-17 23:09:16;-36.780451;-73.096176;2;88.4;1360.4;22.0;;;;;26700.0;-1,0;14,4;13,4;54500;54500;0,000;54500;3;;98,3;28,0;25,0;3,282;3,272;7334,3;7334,3;-508,1;0;;;;;;;0;98,0;9;0;0;0;"D";75,0
2022-11-17 23:08:16;-36.779843;-73.098702;4;88.4;1360.1;25.0;;;;;26700.0;-0,9;14,0;13,1;59000;59000;0,000;59000;3;;-11,4;28,0;25,0;3,324;3,32;7164,1;7164,1;-491,1;;;;;;;;1;98,0;9;0;0;0;"D";0,0
2022-11-17 23:07:16;-36.778379;-73.104761;2;88.8;1359.6;0.0;;;;;26700.0;-0,8;13,3;12,4;59500;59500;0,000;59500;1;;1,6;28,0;25,0;3,318;3,313;6762,3;6762,3;-422,4;;;;;;;;1;98,0;9;0;0;0;"D";0,0
2022-11-17 23:07:13;-36.778371;-73.104777;3;88.8;1359.6;6.0;;;;;26700.0;-0,8;13,3;12,4;58000;58000;0,000;58000;1;;1,9;28,0;25,0;3,318;3,313;6761,7;6761,7;-422,4;;;;;;;;1;98,0;9;0;0;0;"N";0,0
2022-11-17 23:07:03;-36.77829;-73.104975;4;88.8;1359.6;0.0;;;;;26700.0;-0,8;13,2;12,4;56500;56500;0,000;56500;1;;2,8;28,0;25,0;3,317;3,313;6742,9;6742,9;-422,3;;;;;;;;1;98,0;9;0;0;0;"D";0,0
