fecha_hora;lat;lon;altitud;SOC;odometro;vel;AC;calefaccion;cargando;km_restantes;carga_bat_aux
2022-11-15 00:13:27;-36,75927;-73,00510;40,9;100;2323,8;0;0;0;0;200;
2022-11-15 00:43:26;-36,75927;-73,00510;41,4;100;2323,8;0;0;0;0;200;
2022-11-15 01:13:37;-36,75927;-73,00510;42;100;2323,8;0;0;0;0;200;
2022-11-15 01:43:36;-36,75927;-73,00510;42,5;100;2323,8;0;0;0;0;200;
2022-11-15 02:13:26;-36,75927;-73,00510;43;100;2323,8;0;0;0;0;200;
2022-11-15 02:43:47;-36,75927;-73,00510;43,5;100;2323,8;0;0;0;0;200;
2022-11-15 03:14:06;-36,75927;-73,00510;44;100;2323,8;0;0;0;0;200;
2022-11-15 03:43:56;-36,75927;-73,00510;44,6;100;2323,8;0;0;0;0;200;
2022-11-15 04:14:06;-36,75927;-73,00510;45,1;100;2323,8;0;0;0;0;200;
2022-11-15 04:43:46;-36,75927;-73,00510;45,6;100;2323,8;0;0;0;0;200;
2022-11-15 05:13:36;-36,75927;-73,00510;46,1;100;2323,8;0;0;0;0;200;
2022-11-15 05:43:46;-36,75927;-73,00510;46,6;100;2323,8;0;0;0;0;200;
2022-11-15 06:13:46;-36,75927;-73,00510;47,2;100;2323,8;0;0;0;0;200;
2022-11-15 06:44:06;-36,75927;-73,00510;47,7;100;2323,8;0;0;0;0;200;
2022-11-15 07:01:17;-36,75927;-73,00510;48;100;2323,8;0;0;0;0;200;
2022-11-15 07:01:37;-36,75927;-73,00510;48;100;2323,8;0;0;0;0;200;
2022-11-15 07:01:57;-36,75927;-73,00510;48;100;2323,8;0;0;0;0;200;
2022-11-15 07:03:11;-36,75927;-73,00510;48;100;2323,8;0;0;0;0;200;
2022-11-15 07:35:25;-36,75927;-73,00510;48,6;100;2323,8;0;0;0;0;200;
2022-11-15 07:58:56;-36,75927;-73,00510;49;100;2323,8;0;0;0;0;200;
2022-11-15 07:59:11;-36,75932;-73,00521;49;99,97;2323,8;0;0;0;0;199,94;
2022-11-15 07:59:17;-36,75930;-73,00521;49;99,95;2323,9;3;0;0;0;199,9;
2022-11-15 07:59:57;-36,75889;-73,00491;55,9;99,82;2324;3;0;0;0;199,64;
2022-11-15 08:00:17;-36,75896;-73,00462;55,3;99,76;2324;5;0;0;0;199,52;
2022-11-15 08:00:45;-36,75924;-73,00465;63,1;99,67;2324,1;0;0;0;0;199,34;
2022-11-15 08:01:21;-36,75930;-73,00462;68,7;99,56;2324,2;0;0;0;0;199,12;
2022-11-15 08:03:37;-36,75932;-73,00465;69,1;99,13;2324,6;3;0;0;0;198,26;
2022-11-15 08:03:45;-36,75912;-73,00452;69;99,11;2324,6;15;0;0;0;198,22;
2022-11-15 08:04:00;-36,75876;-73,00434;63,6;99,06;2324,7;7;0;0;0;198,12;
2022-11-15 08:04:11;-36,75848;-73,00472;60,2;99,03;2324,7;22;0;0;0;198,06;
2022-11-15 08:04:13;-36,75830;-73,00465;59,7;99,02;2324,7;31;0;0;0;198,04;
2022-11-15 08:04:21;-36,75758;-73,00383;57,9;98,98;2324,7;61;0;0;0;197,96;
2022-11-15 08:04:33;-36,75607;-73,00191;57,7;98,85;2324,8;70;0;0;0;197,7;
2022-11-15 08:04:40;-36,75530;-73,00140;58,3;98,77;2324,8;70;0;0;0;197,54;
2022-11-15 08:04:45;-36,75436;-73,00096;58,7;98,72;2324,8;63;0;0;0;197,44;
2022-11-15 08:04:53;-36,75364;-73,00055;58,5;98,63;2324,8;35;0;0;0;197,26;
2022-11-15 08:04:55;-36,75356;-73,00027;58,3;98,61;2324,8;33;0;0;0;197,22;
2022-11-15 08:04:58;-36,75369;-73,00002;58,1;98,58;2324,8;37;0;0;0;197,16;
2022-11-15 08:05:01;-36,75394;-72,99983;57,8;98,55;2324,9;44;0;0;0;197,1;
2022-11-15 08:05:04;-36,75430;-72,99963;57,5;98,51;2324,9;35;0;0;0;197,02;
2022-11-15 08:05:09;-36,75459;-72,99976;57;98,46;2324,9;26;0;0;0;196,92;
2022-11-15 08:05:11;-36,75464;-72,99991;56,9;98,44;2324,9;14;0;0;0;196,88;
2022-11-15 08:05:17;-36,75459;-73,00027;56,3;98,37;2324,9;41;0;0;0;196,74;
2022-11-15 08:05:19;-36,75454;-73,00055;56,1;98,35;2324,9;52;0;0;0;196,7;
2022-11-15 08:05:27;-36,75418;-73,00175;55,4;98,26;2325;44;0;0;0;196,52;
2022-11-15 08:05:29;-36,75405;-73,00193;55,2;98,24;2325;39;0;0;0;196,48;
2022-11-15 08:05:31;-36,75377;-73,00198;55;98,22;2325,1;41;0;0;0;196,44;
2022-11-15 08:05:35;-36,75351;-73,00181;49,7;98,18;2325,1;42;0;0;0;196,36;
2022-11-15 08:05:37;-36,75346;-73,00142;47;98,15;2325,1;42;0;0;0;196,3;
2022-11-15 08:05:41;-36,75374;-73,00109;46,3;98,11;2325,2;39;0;0;0;196,22;
2022-11-15 08:05:52;-36,75533;-73,00160;48,4;97,99;2325,3;76;0;0;0;195,98;
2022-11-15 08:05:56;-36,75597;-73,00204;49,5;97,94;2325,4;72;0;0;0;195,88;
2022-11-15 08:06:05;-36,75661;-73,00288;50,2;97,84;2325,5;20;0;0;0;195,68;
