,0
1,81.14
2,162.28
3,162.28
4,81.14
5,81.0
6,81.14
7,107.0
8,107.0
9,81.14
10,107.0
11,51.5
12,107.0
13,81.0
14,51.5
15,51.5
16,96.77
17,51.5
18,51.5
19,51.5
20,107.0
21,96.77
22,96.77
23,162.28
24,162.28
25,107.0
26,162.28
27,96.77
28,51.5
29,107.0
30,81.14
31,81.0
32,96.77
33,96.77
34,96.77
35,162.28
36,162.28
37,162.28
38,107.0
39,81.0
40,51.5
41,162.28
42,96.77
43,107.0
44,96.77
45,96.77
46,81.14
47,81.0
48,51.5
49,81.0
50,107.0
51,81.0
52,81.0
53,51.5
54,81.0
55,107.0
56,51.5
57,162.28
58,81.0
59,51.5
60,81.0
61,107.0
62,81.14
63,162.28
64,96.77
65,96.77
66,51.5
67,107.0
68,162.28
69,96.77
70,162.28
71,107.0
72,81.0
73,81.14
74,107.0
75,96.77
76,96.77
77,162.28
78,81.0
79,81.0
80,162.28
81,81.0
82,81.0
83,81.0
84,81.0
85,96.77
86,96.77
87,96.77
88,107.0
89,81.0
90,96.77
91,81.0
92,81.0
93,162.28
94,81.14
95,51.5
96,96.77
97,96.77
98,107.0
99,96.77
100,162.28
