,0
1,96
2,31
3,29
4,65
5,85
6,37
7,15
8,6
9,37
10,32
11,52
12,38
13,8
14,70
15,77
16,37
17,31
18,4
19,32
20,100
21,7
22,43
23,27
24,74
25,91
26,41
27,60
28,7
29,30
30,29
31,100
32,82
33,62
34,86
35,64
36,30
37,82
38,79
39,23
40,82
41,96
42,95
43,86
44,82
45,28
46,85
47,82
48,5
49,67
50,4
51,9
52,73
53,76
54,50
55,89
56,42
57,93
58,54
59,46
60,4
61,50
62,9
63,58
64,42
65,76
66,42
67,55
68,72
69,36
70,36
71,18
72,68
73,94
74,2
75,58
76,55
77,33
78,71
79,100
80,64
81,46
82,29
83,31
84,73
85,53
86,47
87,11
88,29
89,16
90,93
91,94
92,43
93,84
94,10
95,44
96,58
97,81
98,29
99,3
100,73
