Vehicle ID,Charger ID,Local Connect Time,Local Disconnect Time,Local Charge Start Time,Local Charge End Time,Average Power,Max Power,Total Energy Delivered,Starting SOC,Ending SOC
EV028,CH007-CH008,,,8/9/2018 19:24,8/9/2018 19:58,72.901,139.68,42.034,38.5,97.5
EV028,CH007-CH008,,,8/9/2018 18:16,8/9/2018 18:41,44.767,78.42,23.348,44,77.5
EV028,CH007-CH008,,,8/9/2018 17:10,8/9/2018 17:29,62.343,65.12,20.354,52.5,79.5
EV028,CH007-CH008,,,8/9/2018 16:10,8/9/2018 16:20,111.943,198.6,16.028,78,99.5
EV028,CH007-CH008,,,8/9/2018 15:15,8/9/2018 15:44,45.617,111.12,37.541,44,97
EV028,CH007-CH008,,,8/9/2018 14:08,8/9/2018 14:16,126.225,143.62,19.887,53.5,80.5
EV028,CH007-CH008,,,8/9/2018 13:02,8/9/2018 13:10,251.243,337.6,26.951,59.5,97
EV028,CH007-CH008,,,8/9/2018 12:01,8/9/2018 12:10,260.08,365.62,32.961,54,99
EV028,CH007-CH008,,,8/9/2018 10:59,8/9/2018 11:06,292.126,333.62,25.57,62.5,99.5
EV028,CH007-CH008,,,8/9/2018 10:03,8/9/2018 10:12,307.867,357.24,31.027,56.5,99
EV028,CH007-CH008,,,8/9/2018 9:04,8/9/2018 9:12,314.211,369.3,25.673,62.5,99.5
EV028,CH007-CH008,,,8/9/2018 8:06,8/9/2018 8:13,19.915,111.7,24.544,64,99.5
EV028,CH007-CH008,,,8/9/2018 7:06,8/9/2018 7:13,240.18,354.76,23.967,64.5,99
EV028,CH007-CH008,,,8/9/2018 6:10,8/9/2018 6:19,261.954,351.76,34.894,52.5,99.5
EV028,CH007-CH008,,,8/7/2018 19:25,8/7/2018 19:57,48.228,56.2,46.767,33,97
EV028,CH007-CH008,,,8/7/2018 18:14,8/7/2018 18:42,39.733,50.86,30.067,31,73
EV028,CH007-CH008,,,8/7/2018 18:14,8/7/2018 18:42,42.867,53.28,30.04,31,73
EV028,CH007-CH008,,,8/7/2018 17:13,8/7/2018 17:32,94.993,107.34,31.819,28,72.5
EV028,CH007-CH008,,,8/7/2018 16:10,8/7/2018 16:24,117.229,130.44,21.644,40,72
EV028,CH007-CH008,,,8/7/2018 15:16,8/7/2018 15:21,197.261,335.22,15.341,53.5,74.5
EV028,CH007-CH008,,,8/7/2018 14:03,8/7/2018 14:11,211.991,341.46,32.896,53,98
EV028,CH007-CH008,,,8/7/2018 13:09,8/7/2018 13:15,295.103,357.3,21.841,66,98.5
EV028,CH007-CH008,,,8/7/2018 12:08,8/7/2018 12:17,175.02,267.04,27.906,59.5,99
EV028,CH007-CH008,,,8/7/2018 11:10,8/7/2018 11:17,294.381,339.68,24.644,62.5,98.5
EV028,CH007-CH008,,,8/7/2018 10:09,8/7/2018 10:15,280.416,323.9,21.935,66.5,99
EV028,CH007-CH008,,,8/7/2018 9:08,8/7/2018 9:13,292.428,334.22,20.411,72,99.5
EV028,CH007-CH008,,,8/7/2018 8:09,8/7/2018 8:16,265.673,334.5,23.511,65.5,99.5
EV028,CH007-CH008,,,8/7/2018 7:06,8/7/2018 7:11,283.765,339.7,17.891,75.5,100
EV028,CH007-CH008,,,8/7/2018 6:13,8/7/2018 6:23,256.135,308.78,33.791,55,100
EV028,CH007-CH008,,,8/5/2018 18:49,8/5/2018 19:14,89.433,169.98,44.519,35.5,96.5
EV028,CH007-CH008,,,8/5/2018 17:42,8/5/2018 17:57,83.094,148.36,22.792,41.5,73.5
EV028,CH007-CH008,,,8/5/2018 16:42,8/5/2018 16:57,61.093,68.24,24.284,44.5,78.5
EV028,CH007-CH008,,,8/5/2018 15:40,8/5/2018 15:54,139.829,149.32,33.105,40,86.5
EV028,CH007-CH008,,,8/5/2018 14:37,8/5/2018 14:40,146.487,249.72,12.061,54.5,71.5
EV028,CH007-CH008,,,8/5/2018 13:35,8/5/2018 13:40,306.317,361.46,21.339,66.5,98
EV028,CH007-CH008,,,8/5/2018 12:29,8/5/2018 12:39,202.297,365.14,32.605,55,99
EV028,CH007-CH008,,,8/5/2018 11:28,8/5/2018 11:36,334.624,364.86,36.307,48,97
EV028,CH007-CH008,,,8/5/2018 10:33,8/5/2018 10:35,264.428,356.46,9.406,67.5,82.5
EV028,CH007-CH008,,,8/5/2018 9:29,8/5/2018 9:35,249.994,357.16,21.169,68,98.5
EV028,CH007-CH008,,,8/5/2018 8:24,8/5/2018 8:32,271.816,373.46,33.934,53,97.5
EV028,CH007-CH008,,,8/4/2018 16:18,8/4/2018 16:27,76.677,359.44,15.773,80,99.5
EV028,CH007-CH008,,,8/3/2018 21:22,8/3/2018 21:27,252.054,329.92,13.585,80,98.5
EV028,CH007-CH008,,,8/3/2018 18:44,8/3/2018 19:06,103.452,186.58,38.429,44.5,97.5
EV028,CH007-CH008,,,8/3/2018 17:34,8/3/2018 17:53,85.965,139,29.731,43,85.5
EV028,CH007-CH008,,,8/3/2018 16:22,8/3/2018 16:36,103.374,150.78,26.943,46,84.5
EV028,CH007-CH008,,,8/3/2018 15:24,8/3/2018 15:30,183.582,335.42,18.048,55.5,80
EV028,CH007-CH008,,,8/3/2018 14:24,8/3/2018 14:30,263.706,350.88,26.41,59,95.5
EV028,CH007-CH008,,,8/3/2018 13:26,8/3/2018 13:32,292.988,353.46,24.024,62.5,97
EV028,CH007-CH008,,,8/3/2018 12:25,8/3/2018 12:32,198.535,289.84,25.229,61.5,97
EV028,CH007-CH008,,,8/3/2018 11:26,8/3/2018 11:33,281.054,339.18,27.364,58.5,96.5
EV028,CH007-CH008,,,8/3/2018 10:22,8/3/2018 10:29,272.573,335.56,27.665,59,98.5
EV028,CH007-CH008,,,8/3/2018 9:23,8/3/2018 9:29,318.577,355.9,22.685,65.5,97.5
EV028,CH007-CH008,,,8/3/2018 8:23,8/3/2018 8:32,333.628,367.68,29.177,57,98.5
EV028,CH007-CH008,,,8/3/2018 7:23,8/3/2018 7:30,249.721,295.32,22.187,66.5,99.5
EV028,CH007-CH008,,,8/3/2018 6:27,8/3/2018 6:36,294.955,349.46,34.218,52.5,97
EV028,CH007-CH008,,,8/2/2018 18:32,8/2/2018 18:56,48.296,80.96,34.539,50,98.5
EV028,CH007-CH008,,,8/2/2018 17:33,8/2/2018 17:47,65.579,69.74,25.07,54,87.5
EV028,CH007-CH008,,,8/2/2018 16:27,8/2/2018 16:40,149.51,167.42,33.087,52,96.5
EV028,CH007-CH008,,,8/2/2018 15:25,8/2/2018 15:35,169.375,250.08,27.044,54.5,89.5
EV028,CH007-CH008,,,8/2/2018 14:26,8/2/2018 14:31,303.715,339.5,24.262,58,91.5
EV028,CH007-CH008,,,8/2/2018 13:28,8/2/2018 13:33,251.584,347.06,26.75,58.5,95.5
EV028,CH007-CH008,,,8/2/2018 12:28,8/2/2018 12:36,259.175,373.64,31.256,55.5,97
EV028,CH007-CH008,,,8/2/2018 11:27,8/2/2018 11:32,112.555,230.98,19.568,73,99.5
EV028,CH007-CH008,,,8/2/2018 10:25,8/2/2018 10:33,248.669,351.58,27.996,59,97.5
EV028,CH007-CH008,,,8/2/2018 9:29,8/2/2018 9:35,202.477,263.52,26.279,55.5,89.5
