Vehicle ID,Charger ID,Local Connect Time,Local Disconnect Time,Local Charge Start Time,Local Charge E/Time,Average Power,Max Power,Total Energy Delivered,Starting SOC,Ending SOC
EV030,CH007-CH008,,,8/13/2018 18:33,8/13/2018 18:45,190.52,226.86,34.084,53.5,100
EV030,CH007-CH008,,,8/13/2018 17:38,8/13/2018 17:44,311.454,357.92,28.693,55,93
EV030,CH007-CH008,,,8/13/2018 16:28,8/13/2018 16:35,238.616,372.64,25.437,63,100
EV030,CH007-CH008,,,8/13/2018 15:27,8/13/2018 15:34,299.785,359.04,28.74,59,99
EV030,CH007-CH008,,,8/13/2018 14:25,8/13/2018 14:33,326.825,362.3,29.024,58.5,100
EV030,CH007-CH008,,,8/13/2018 13:26,8/13/2018 13:34,290.677,374.36,29.082,58.5,100
EV030,CH007-CH008,,,8/13/2018 12:31,8/13/2018 12:39,293.858,369.18,31.669,55.5,97
EV030,CH007-CH008,,,8/13/2018 11:24,8/13/2018 11:31,292.553,350,26.331,62,100
EV030,CH007-CH008,,,8/13/2018 10:31,8/13/2018 10:37,307.851,379.06,24.046,65,100
EV030,CH007-CH008,,,8/13/2018 9:27,8/13/2018 9:35,316.296,364.82,28.591,60,100
EV030,CH007-CH008,,,8/13/2018 8:25,8/13/2018 8:31,96.801,252.46,23.061,66.5,100
EV030,CH007-CH008,,,8/13/2018 7:28,8/13/2018 7:33,309.588,362.9,19.324,74.5,100
EV030,CH007-CH008,,,8/13/2018 6:30,8/13/2018 6:39,229.868,337.3,29.043,59.5,100
EV030,CH007-CH008,,,8/9/2018 18:35,8/9/2018 18:45,300.925,317.66,31.605,56,100
EV030,CH007-CH008,,,8/9/2018 17:34,8/9/2018 17:42,198.873,299.82,27.16,60.5,99.5
EV030,CH007-CH008,,,8/9/2018 16:35,8/9/2018 16:45,274.354,362.36,33.262,55,100
EV030,CH007-CH008,,,8/9/2018 15:28,8/9/2018 15:36,318.658,361.12,34.462,53.5,100
EV030,CH007-CH008,,,8/9/2018 14:28,8/9/2018 14:37,260.489,348.06,33.945,54.5,100
EV030,CH007-CH008,,,8/9/2018 13:26,8/9/2018 13:32,284.125,372.36,24.705,63.5,100
EV030,CH007-CH008,,,8/9/2018 12:28,8/9/2018 12:36,266.506,351.9,30.713,56.5,99.5
EV030,CH007-CH008,,,8/9/2018 11:27,8/9/2018 11:34,255.765,336,26.081,60.5,97.5
EV030,CH007-CH008,,,8/9/2018 10:27,8/9/2018 10:33,293.924,359.14,22.652,66.5,100
EV030,CH007-CH008,,,8/9/2018 9:28,8/9/2018 9:37,320.835,365.64,30.781,57,99
EV030,CH007-CH008,,,8/9/2018 8:27,8/9/2018 8:33,269.941,338.52,22.396,67,100
EV030,CH007-CH008,,,8/9/2018 7:28,8/9/2018 7:34,293.417,370,21.966,68,100
EV030,CH007-CH008,,,8/9/2018 6:28,8/9/2018 6:34,237.76,357.18,20.696,72.5,100
EV030,CH007-CH008,,,8/8/2018 19:21,8/8/2018 19:31,251.983,281.68,31.811,56,100
EV030,CH007-CH008,,,8/8/2018 18:13,8/8/2018 18:24,200.287,308.02,35.38,51.5,99.5
EV030,CH007-CH008,,,8/8/2018 17:18,8/8/2018 17:25,314.745,365.24,31.426,51,92.5
EV030,CH007-CH008,,,8/8/2018 16:18,8/8/2018 16:27,270.504,325.9,40.015,44,98
EV030,CH007-CH008,,,8/8/2018 15:21,8/8/2018 15:25,252.88,346.52,18.727,54.5,80
EV030,CH007-CH008,,,8/8/2018 14:07,8/8/2018 14:17,218.365,262.42,29.53,57.5,100
EV030,CH007-CH008,,,8/8/2018 13:05,8/8/2018 13:14,201.145,278.86,29.416,57.5,98.5
EV030,CH007-CH008,,,8/8/2018 12:09,8/8/2018 12:16,320.516,370.46,28.74,57.5,97
EV030,CH007-CH008,,,8/8/2018 11:11,8/8/2018 11:17,291.079,366.82,22.338,67,100
EV030,CH007-CH008,,,8/8/2018 10:10,8/8/2018 10:19,255.608,357.48,32.428,56,98
EV030,CH007-CH008,,,8/8/2018 9:15,8/8/2018 9:19,179.883,313.56,18.493,72.5,96.5
EV030,CH007-CH008,,,8/8/2018 8:13,8/8/2018 8:19,276.004,369.7,23.261,66.5,100
EV030,CH007-CH008,,,8/8/2018 7:13,8/8/2018 7:19,241.673,375.56,20.059,73.5,100
EV030,CH007-CH008,,,8/8/2018 6:13,8/8/2018 6:23,239.045,357.4,34.299,54.5,100
EV030,CH007-CH008,,,8/6/2018 19:20,8/6/2018 19:26,316.555,366.72,31.273,52.5,94
EV030,CH007-CH008,,,8/6/2018 18:15,8/6/2018 18:25,236.078,281.12,36.548,49,99.5
EV030,CH007-CH008,,,8/6/2018 17:08,8/6/2018 17:21,323.588,360.06,58.149,20,99
EV030,CH007-CH008,,,8/6/2018 16:13,8/6/2018 16:18,311.684,348.5,25.835,31.5,65.5
EV030,CH007-CH008,,,8/6/2018 15:21,8/6/2018 15:24,317.369,362.6,19.18,50,76.5
EV030,CH007-CH008,,,8/6/2018 14:10,8/6/2018 14:19,260.454,354.66,36.798,50,100
EV030,CH007-CH008,,,8/6/2018 13:05,8/6/2018 13:13,276.31,316.24,40.357,42.5,96.5
EV030,CH007-CH008,,,8/6/2018 12:13,8/6/2018 12:15,272.783,319.22,11.296,66,84
