Vehicle ID,Charger ID,Local Connect Time,Local Disconnect Time,Local Charge Start Time,Local Charge End Time,Average Power,Max Power,Total Energy Delivered,Starting SOC,Ending SOC,SOC Charged
EV055,CH009-CH012,,,11/30/2021 14:14:11,12/01/2021 06:13:05,6.02814896668965,14.9020004272461,96.3399963378906,16,100,84
EV055,CH009-CH012,,,11/30/2021 14:14:11,12/01/2021 06:13:05,6.02814896668965,14.9020004272461,96.3399963378906,16,100,84
EV055,CH009-CH012,,,03/09/2022 08:46:22,03/09/2022 08:47:24,9.2644714944461,13.7130002975464,0.159999996423721,100,100,0
EV055,CH009-CH012,,,03/09/2022 08:57:38,03/09/2022 14:40:18,,11.585000038147,,,,
EV055,CH009-CH012,,,03/09/2022 14:44:45,03/10/2022 05:00:32,,15.0150003433228,,,,
EV055,CH009-CH012,,,03/17/2022 10:40:20,03/17/2022 10:59:11,11.1947714720111,14.8680000305176,3.51999998092651,95.2,96.8,1.59999999999999
EV055,CH009-CH012,,,03/17/2022 11:02:01,03/17/2022 11:02:26,7.04060090704999,13.956000328064,0.0500000007450581,98,98,0
EV055,CH009-CH012,,,03/17/2022 11:02:33,03/17/2022 11:03:12,9.08333980016585,14.0649995803833,0.100000001490116,98,98,0
EV055,CH009-CH012,,,03/29/2022 12:32:53,03/29/2022 13:54:55,13.9682653399083,14.6199998855591,19.1000003814697,80,94,14
EV055,CH009-CH012,,,03/29/2022 15:55:59,03/30/2022 06:02:13,2.03631386154072,14.8030004501343,28.7199993133545,79.2,100,20.8
EV055,CH009-CH012,,,03/30/2022 08:28:48,03/30/2022 10:37:02,11.0043484339577,14.5240001678467,23.5200004577637,79.2,99.2,20
EV055,CH009-CH012,,,03/30/2022 15:43:59,03/31/2022 06:08:03,2.93862317851896,14.8299999237061,42.3199996948242,66,100,34
EV055,CH009-CH012,,,03/31/2022 07:49:52,03/31/2022 10:49:18,0.979681295263951,14.3520002365112,2.9300000667572,98,100,2
EV055,CH009-CH012,,,03/31/2022 12:30:23,03/31/2022 14:02:09,13.971869023631,14.6639995574951,21.3700008392334,76.8,92.8,16
EV055,CH009-CH012,,,03/31/2022 16:38:26,04/01/2022 05:46:20,3.3240201717577,14.6929998397827,43.6500015258789,64,100,36
EV055,CH009-CH012,,,04/01/2022 11:02:03,04/01/2022 13:52:09,13.9780926652104,14.6969995498657,39.6300010681152,63.2,94,30.8
EV055,CH009-CH012,,,04/04/2022 08:38:33,04/04/2022 10:36:36,13.980835264919,14.6909999847412,27.5100002288818,56.8,79.2,22.4
EV055,CH009-CH012,,,04/04/2022 12:59:05,04/04/2022 14:10:20,13.9509198769251,14.5159997940063,16.5699996948242,43.2,56.8,13.6
EV055,CH009-CH012,,,04/04/2022 15:58:07,04/04/2022 15:58:54,0,0,0,40.8,40.8,0
EV055,CH009-CH012,,,04/04/2022 15:59:00,04/05/2022 05:56:05,4.79943159068705,14.6909999847412,66.9599990844727,42,100,58
EV055,CH009-CH012,,,04/05/2022 08:29:42,04/05/2022 10:27:27,13.3652832629691,14.6619997024536,26.2299995422363,76.8,96.8,20
EV055,CH009-CH012,,,04/05/2022 12:30:35,04/05/2022 13:55:10,13.9794029977046,14.6560001373291,19.7099990844727,80,95.2,15.2
EV055,CH009-CH012,,,04/05/2022 16:04:53,04/06/2022 06:08:01,2.43729196660041,14.4899997711182,34.25,74,100,26
EV055,CH009-CH012,,,04/06/2022 08:28:16,04/06/2022 10:23:46,11.7970497423669,14.6280002593994,22.7099990844727,80,96.8,16.8
EV055,CH009-CH012,,,04/06/2022 13:45:03,04/06/2022 13:45:39,0,0,0,67.2,67.2,0
EV055,CH009-CH012,,,04/06/2022 13:46:11,04/06/2022 13:46:51,0,0,0,67.2,67.2,0
EV055,CH009-CH012,,,04/06/2022 13:47:10,04/06/2022 13:47:40,0,0,0,67.2,67.2,0
EV055,CH009-CH012,,,04/06/2022 13:47:56,04/06/2022 14:40:48,13.8995131388137,14.5530004501343,12.25,68.8,76.8,8
EV055,CH009-CH012,,,04/06/2022 15:41:05,04/07/2022 05:48:27,3.09918876411766,14.9379997253418,43.7700004577637,64,100,36
EV055,CH009-CH012,,,04/07/2022 08:29:20,04/07/2022 10:39:09,11.9830661077959,14.5590000152588,25.9300003051758,78,96.8,18.8
EV055,CH009-CH012,,,04/07/2022 12:32:11,04/07/2022 13:50:23,13.8856719456218,14.8050003051758,18.1000003814697,75.2,88.8,13.6
EV055,CH009-CH012,,,04/07/2022 16:07:18,04/08/2022 06:06:50,3.35252643508843,14.6879997253418,46.9099998474121,63.2,100,36.8
