Vehicle ID,Charger ID,Date,Number of Charging Sessions,Connection Time,Charging Time,Average Power,Max Power,Total Energy Delivered,Starting SOC,Ending SOC,SOC Charged
EV096,CH018-CH024,06/12/18,,,7.1418975,39.29503469,,280.64111,,,80.5
EV096,CH018-CH024,11/14/18,,,3.501517778,26.08343176,,91.3316,,,24
EV096,CH018-CH024,11/15/18,,,4.785591389,0.947230892,,4.53306,,,
EV096,CH018-CH024,11/16/18,,,0.0116475,36.82764542,,0.42895,,,
EV096,CH018-CH024,11/18/18,,,0.734287222,38.14657147,,28.01054,,,8
EV096,CH018-CH024,11/20/18,,,5.922545278,31.9669937,,189.3259676,,,53
EV096,CH018-CH024,11/21/18,,,14.45657333,23.40366314,,338.3367724,,,94
EV096,CH018-CH024,11/23/18,,,0.905543333,36.07095188,,32.66381,,,9.5
EV096,CH018-CH024,11/27/18,,,1.933065833,23.4433247,,45.31749,,,12.5
EV096,CH018-CH024,11/29/18,,,0.493093889,40.89813412,,20.16662,,,5.5
EV096,CH018-CH024,12/04/18,,,0.000362222,0.717791411,,0.00026,,,
EV096,CH018-CH024,12/06/18,,,7.354130833,11.99587307,,88.21922,,,23.5
EV096,CH018-CH024,12/07/18,,,7.911815833,0.045787213,,0.36226,,,
EV096,CH018-CH024,12/10/18,,,3.332308611,0.137100147,,0.45686,,,
EV096,CH018-CH024,12/17/18,,,3.007904722,13.13451178,,39.50736,,,10.5
EV096,CH018-CH024,12/19/18,,,0.431583889,12.78085244,,5.51601,,,1
EV096,CH018-CH024,12/20/18,,,7.809235,36.20591005,,282.74046,,,80.5
EV096,CH018-CH024,12/21/18,,,8.383604167,32.65993827,,273.8079945,,,79.5
EV096,CH018-CH024,12/22/18,,,10.73010861,0.761593919,,8.171985472,,,1
EV096,CH018-CH024,12/24/18,,,9.081929722,27.63889038,,251.01446,,,69.5
EV096,CH018-CH024,12/26/18,,,8.234744722,24.61323293,,202.68369,,,56
EV096,CH018-CH024,12/27/18,,,8.007283333,34.87676228,,279.2681174,,,80.5
EV096,CH018-CH024,12/28/18,,,4.679324167,0.528521333,,2.473122647,,,
EV096,CH018-CH024,01/02/19,,,3.792601944,25.09125434,,95.16114,,,26.5
EV096,CH018-CH024,01/03/19,,,5.747785278,39.30962751,,225.9432983,,,67.5
EV096,CH018-CH024,01/04/19,,,13.01700806,19.40109744,,252.5442417,,,69.5
EV096,CH018-CH024,01/07/19,,,6.133756944,37.92896134,,232.64703,,,68
EV096,CH018-CH024,01/08/19,,,9.053693056,35.73326114,,323.5179782,,,97
EV096,CH018-CH024,01/09/19,,,4.604523333,32.70384943,,150.5856378,,,50.5
EV096,CH018-CH024,01/10/19,,,9.373736944,28.58642153,,267.9615956,,,75
EV096,CH018-CH024,01/11/19,,,8.714639722,33.78494095,,294.4235884,,,83
EV096,CH018-CH024,01/14/19,,,6.422204444,34.97744925,,224.63233,,,63
EV096,CH018-CH024,01/15/19,,,7.764298333,30.12502868,,233.89971,,,65.5
EV096,CH018-CH024,01/18/19,,,6.214807778,0.803080349,,4.99099,,,0.5
EV096,CH018-CH024,01/21/19,,,4.678701389,0.105719506,,0.49463,,,
EV096,CH018-CH024,01/22/19,,,10.00024167,36.46142825,,364.623094,,,104
EV096,CH018-CH024,01/23/19,,,1.744871667,0.49493382,,0.863596,,,
EV096,CH018-CH024,01/25/19,,,10.38359593,0.44520415,,4.62282,,,
EV096,CH018-CH024,01/26/19,,,10.55003629,0.009914658,,0.1046,,,
EV096,CH018-CH024,01/29/19,,,3.761634041,1.251541205,,4.70784,,,
EV096,CH018-CH024,02/01/19,,,4.480856389,0.798914245,,3.57982,,,
EV096,CH018-CH024,02/04/19,,,4.776535,30.83217228,,147.27095,,,40
EV096,CH018-CH024,02/06/19,,,9.445784722,34.24312003,,323.45314,,,92.5
EV096,CH018-CH024,02/07/19,,,6.353801944,37.11714373,,235.83498,,,67
EV096,CH018-CH024,02/11/19,,,9.110113889,28.39271201,,258.66084,,,70
EV096,CH018-CH024,02/12/19,,,9.027643056,37.22160789,,336.02339,,,99
EV096,CH018-CH024,02/13/19,,,9.448860278,36.07459101,,340.86377,,,97
EV096,CH018-CH024,02/14/19,,,5.761595278,27.34685316,,157.5615,,,45
EV096,CH018-CH024,02/15/19,,,10.72941028,30.30494929,,325.1542344,,,92
EV096,CH018-CH024,02/16/19,,,0.552210556,1.052489117,,0.5811956,,,
EV096,CH018-CH024,02/18/19,,,8.701806944,30.74473632,,267.53476,,,74.5
EV096,CH018-CH024,02/19/19,,,7.868946944,25.7584352,,202.69176,,,57.5
EV096,CH018-CH024,02/20/19,,,9.149099167,34.95204655,,319.77974,,,90.5
EV096,CH018-CH024,02/21/19,,,7.140871667,33.42620357,,238.69223,,,68.5
EV096,CH018-CH024,02/22/19,,,9.137375833,32.7728043,,299.45743,,,84
EV096,CH018-CH024,02/25/19,,,6.017816667,29.26230222,,176.09517,,,52.5
EV096,CH018-CH024,02/26/19,,,1.597880556,29.5474401,,47.21328,,,13
EV096,CH018-CH024,02/27/19,,,4.063071944,36.87900398,,149.8420464,,,42
EV096,CH018-CH024,02/28/19,,,11.27862139,24.92764496,,281.1494696,,,76.5
EV096,CH018-CH024,03/01/19,,,9.515295278,29.50149128,,280.7154007,,,77.5
EV096,CH018-CH024,03/02/19,,,0.156814167,1.350600764,,0.211793333,,,
EV096,CH018-CH024,03/04/19,,,2.509427222,0.748768477,,1.87898,,,
EV096,CH018-CH024,03/05/19,,,4.730731389,26.00672494,,123.03083,,,34
EV096,CH018-CH024,03/06/19,,,7.2879875,30.50775814,,222.34016,,,64.5
EV096,CH018-CH024,03/07/19,,,9.517217778,34.13029391,,324.82544,,,93
EV096,CH018-CH024,03/08/19,,,9.902003333,33.34470172,,330.1793476,,,95
EV096,CH018-CH024,03/09/19,,,2.5825175,0.294105428,,0.759532414,,,
EV096,CH018-CH024,03/11/19,,,8.941100278,34.9109271,,312.1421,,,89
