Vehice ID,Charger ID,Local Connect Time,Local Disconnect Time,Local Charge Start Time,Local Charge End Time,Average Power,Max Power,Total Energy Delivered ,Starting SOC,Ending SOC
EV016-EV021,CH004,,,8/1/2019 9:15,8/1/2019 9:36,9.6,9.6,3.36,,
EV016-EV021,CH004,,,8/1/2019 9:07,8/1/2019 9:11,9.6,9.6,0.79,,
EV016-EV021,CH004,,,7/29/2019 21:17,7/30/2019 2:26,9.6,9.6,49.53,,
EV016-EV021,CH004,,,7/29/2019 18:11,7/29/2019 19:06,9.6,9.6,8.8,,
EV016-EV021,CH004,,,7/23/2019 22:45,7/23/2019 23:20,9.6,9.6,5.6,,
EV016-EV021,CH004,,,7/23/2019 16:08,7/23/2019 22:44,9.6,9.6,63.37,,
EV016-EV021,CH004,,,7/23/2019 11:09,7/23/2019 12:23,9.6,9.6,11.84,,
EV016-EV021,CH004,,,7/23/2019 7:51,7/23/2019 9:01,9.6,9.6,11.2,,
EV016-EV021,CH004,,,7/22/2019 22:52,7/22/2019 23:02,9.6,9.6,1.6,,
EV016-EV021,CH004,,,7/22/2019 19:40,7/22/2019 20:26,9.6,9.6,7.36,,
EV016-EV021,CH004,,,7/22/2019 19:39,7/22/2019 19:40,9.6,9.6,0.16,,
EV016-EV021,CH004,,,7/22/2019 19:35,7/22/2019 19:37,9.6,9.6,0.32,,
EV016-EV021,CH004,,,7/22/2019 14:37,7/22/2019 19:32,9.6,9.6,47.21,,
EV016-EV021,CH004,,,7/22/2019 12:11,7/22/2019 12:46,9.6,9.6,5.6,,
EV016-EV021,CH004,,,7/22/2019 11:20,7/22/2019 12:03,9.6,9.6,6.88,,
EV016-EV021,CH004,,,7/22/2019 6:46,7/22/2019 8:23,9.6,9.6,15.52,,
EV016-EV021,CH004,,,7/21/2019 21:50,7/21/2019 22:00,9.6,9.6,1.6,,
EV016-EV021,CH004,,,7/21/2019 19:10,7/21/2019 19:20,9.6,9.6,1.6,,
EV016-EV021,CH004,,,7/21/2019 17:53,7/21/2019 18:05,9.6,9.6,1.92,,
EV016-EV021,CH004,,,7/21/2019 16:31,7/21/2019 16:50,9.6,9.6,3.04,,
EV016-EV021,CH004,,,7/21/2019 15:17,7/21/2019 15:31,9.6,9.6,2.24,,
EV016-EV021,CH004,,,7/21/2019 14:00,7/21/2019 14:16,9.6,9.6,2.56,,
EV016-EV021,CH004,,,7/21/2019 12:26,7/21/2019 12:40,9.6,9.6,2.24,,
EV016-EV021,CH004,,,7/20/2019 19:23,7/20/2019 19:34,9.6,9.6,1.76,,
EV016-EV021,CH004,,,7/20/2019 17:36,7/20/2019 17:46,9.6,9.6,1.6,,
EV016-EV021,CH004,,,7/20/2019 16:23,7/20/2019 16:35,9.6,9.6,1.92,,
EV016-EV021,CH004,,,7/20/2019 15:09,7/20/2019 15:22,9.6,9.6,2.08,,
EV016-EV021,CH004,,,7/20/2019 13:44,7/20/2019 14:01,9.6,9.6,2.72,,
EV016-EV021,CH004,,,7/19/2019 19:05,7/19/2019 19:18,9.6,9.6,2.08,,
EV016-EV021,CH004,,,7/19/2019 17:17,7/19/2019 17:30,9.6,9.6,2.08,,
EV016-EV021,CH004,,,7/19/2019 15:16,7/19/2019 16:08,9.6,9.6,8.32,,
EV016-EV021,CH004,,,7/19/2019 15:14,7/19/2019 15:15,9.6,9.6,0.16,,
EV016-EV021,CH004,,,7/19/2019 15:09,7/19/2019 15:12,9.6,9.6,0.48,,
EV016-EV021,CH004,,,7/19/2019 13:17,7/19/2019 14:57,9.6,9.6,16,,
EV016-EV021,CH004,,,7/19/2019 8:47,7/19/2019 9:36,9.6,9.6,7.84,,
EV016-EV021,CH004,,,7/19/2019 7:49,7/19/2019 8:32,9.6,9.6,6.88,,
