Vehicle ID,Charger ID,Local Connect Time,Local Disconnect Time,Local Charge Start Time,Local Charge End Time,Average Power,Max Power,Total Energy Delivered,Starting SOC,Ending SOC
EV031,CH007-CH008,,,6/21/2018 14:48,6/21/2018 14:52,187.628,249.42,15.532,50,72
EV031,CH007-CH008,,,6/21/2018 13:48,6/21/2018 13:53,302.425,353.6,21.437,54,82.5
EV031,CH007-CH008,,,6/21/2018 12:49,6/21/2018 12:57,247.523,316.86,28.258,60,98.5
EV031,CH007-CH008,,,6/21/2018 11:47,6/21/2018 11:55,38.249,174.14,27.596,61,100
EV031,CH007-CH008,,,6/21/2018 10:44,6/21/2018 10:51,205.095,322.12,23.203,65.5,100
EV031,CH007-CH008,,,6/21/2018 9:43,6/21/2018 9:53,205.391,311.52,28.084,60.5,100
EV031,CH007-CH008,,,6/21/2018 8:43,6/21/2018 8:50,185.306,200.62,19.373,74,100
EV031,CH007-CH008,,,6/21/2018 7:42,6/21/2018 7:51,258.361,300.92,27.105,62,99.5
EV031,CH007-CH008,,,6/21/2018 6:46,6/21/2018 6:52,104.369,254.32,22.294,61,92
EV031,CH007-CH008,,,6/21/2018 5:54,6/21/2018 5:57,130.427,343.2,7.925,88.5,100
EV031,CH007-CH008,,,6/19/2018 19:18,6/19/2018 19:30,190.451,220.06,34.631,52.5,100
EV031,CH007-CH008,,,6/19/2018 18:12,6/19/2018 18:26,242.671,272.44,56.261,22.5,99
EV031,CH007-CH008,,,6/19/2018 17:12,6/19/2018 17:17,282.137,344.92,26.224,30,75.5
EV031,CH007-CH008,,,6/19/2018 16:10,6/19/2018 16:17,228.375,282.2,26.096,38.5,75
EV031,CH007-CH008,,,6/19/2018 15:14,6/19/2018 15:17,173.893,333,14.149,55.5,76
EV031,CH007-CH008,,,6/19/2018 14:03,6/19/2018 14:12,282.302,343.36,35.542,52,100
EV031,CH007-CH008,,,6/19/2018 13:03,6/19/2018 13:10,234.763,323.12,26.649,54.5,89.5
EV031,CH007-CH008,,,6/19/2018 12:04,6/19/2018 12:10,259.721,347.88,25.404,58,94
EV031,CH007-CH008,,,6/19/2018 11:06,6/19/2018 11:12,328.128,374.12,28.682,56,94
EV031,CH007-CH008,,,6/19/2018 10:05,6/19/2018 10:11,221.478,300.58,23.851,65,98.5
EV031,CH007-CH008,,,6/19/2018 9:05,6/19/2018 9:12,224.44,264.94,30.265,53,92.5
EV031,CH007-CH008,,,6/19/2018 8:09,6/19/2018 8:13,208.758,277,14.863,64.5,86.5
EV031,CH007-CH008,,,6/19/2018 7:10,6/19/2018 7:13,305.268,366.24,18.413,72,95.5
EV031,CH007-CH008,,,6/19/2018 6:12,6/19/2018 6:18,260.351,366.22,23.853,64.5,97.5
EV031,CH007-CH008,,,6/19/2018 0:15,6/19/2018 1:01,21.493,42.9,4.479,91,99.5
EV031,CH007-CH008,,,6/18/2018 18:31,6/18/2018 18:40,217.153,309.28,28.881,59,100
EV031,CH007-CH008,,,6/18/2018 17:32,6/18/2018 17:38,220.8,306.66,18.42,75.5,100
EV031,CH007-CH008,,,6/18/2018 16:23,6/18/2018 16:33,283.798,372.18,34.71,53.5,100
EV031,CH007-CH008,,,6/18/2018 15:24,6/18/2018 15:31,249.249,328.92,25.661,56,90
EV031,CH007-CH008,,,6/18/2018 14:23,6/18/2018 14:31,216.006,303.62,26.09,62.5,100
EV031,CH007-CH008,,,6/18/2018 13:21,6/18/2018 13:31,211.299,285.76,32.528,56,99
EV031,CH007-CH008,,,6/18/2018 12:23,6/18/2018 12:30,199.506,222.52,19.879,73.5,100
EV031,CH007-CH008,,,6/18/2018 11:23,6/18/2018 11:33,255.907,298.02,30.399,57.5,99
