Vehicle ID,Charger ID,Date,Number of Charging Sessions,Connection Time,Charging Time,Average Power,Max Power,Total Energy Delivered,Starting SOC,Ending SOC,SOC Charged
EV098,CH018-CH024,12/28/18,,,3.760038333,37.77569599,,142.038065,,,44.5
EV098,CH018-CH024,12/29/18,,,2.372291111,26.73660695,,63.427015,,,16.5
EV098,CH018-CH024,08/14/19,,,1.588103889,31.47914966,,49.99216,,,13.5
EV098,CH018-CH024,08/15/19,,,5.4274,39.22386041,,212.88358,,,63
EV098,CH018-CH024,08/16/19,,,6.898440833,32.08874807,,221.36233,,,64.5
EV098,CH018-CH024,08/17/19,,,7.572414444,15.14554319,,114.68833,,,32
EV098,CH018-CH024,08/21/19,,,6.730616667,26.62518421,,179.2039086,,,54.5
EV098,CH018-CH024,08/22/19,,,9.42545,23.80427687,,224.3660214,,,62.5
EV098,CH018-CH024,08/23/19,,,6.085209167,25.42843077,,154.73732,,,42.5
EV098,CH018-CH024,08/24/19,,,3.834731944,35.66271958,,136.75697,,,39.5
EV098,CH018-CH024,08/26/19,,,2.824773056,31.3300921,,88.5004,,,25.5
EV098,CH018-CH024,08/27/19,,,6.35166,30.51495829,,193.82064,,,55.5
EV098,CH018-CH024,08/28/19,,,6.469678056,27.58662735,,178.4765976,,,54.5
EV098,CH018-CH024,08/29/19,,,10.43887083,23.48178135,,245.1232824,,,68
EV098,CH018-CH024,08/30/19,,,4.893381667,31.57419358,,154.50458,,,43.5
EV098,CH018-CH024,09/26/19,,,2.874660278,8.611497571,,24.75513,,,5.5
EV098,CH018-CH024,10/15/19,,,7.090018889,25.10417112,,177.9890474,,,55.5
EV098,CH018-CH024,10/16/19,,,8.299419722,30.74441842,,255.1608326,,,71
EV098,CH018-CH024,10/17/19,,,5.8491775,39.12926332,,228.8740066,,,75
EV098,CH018-CH024,10/18/19,,,13.24372611,24.9308171,,330.1769134,,,92
EV098,CH018-CH024,10/21/19,,,6.736376111,28.1361591,,189.53575,,,58.5
EV098,CH018-CH024,10/22/19,,,10.03857167,18.25968704,,183.301177,,,54
EV098,CH018-CH024,10/23/19,,,12.5639175,30.20941223,,379.548563,,,113
EV098,CH018-CH024,10/24/19,,,7.767095833,35.5882116,,276.41705,,,83
EV098,CH018-CH024,10/25/19,,,6.347946944,37.75969177,,239.69652,,,73.5
EV098,CH018-CH024,10/26/19,,,6.306934722,31.24794352,,197.07874,,,57.5
EV098,CH018-CH024,10/27/19,,,5.528261389,41.46550184,,229.2321328,,,74.5
EV098,CH018-CH024,10/28/19,,,13.02496389,21.22047551,,276.3959272,,,78
EV098,CH018-CH024,10/29/19,,,7.106438611,38.74516971,,275.34017,,,86
EV098,CH018-CH024,10/30/19,,,0.040621667,22.03208468,,0.89498,,,0.5
EV098,CH018-CH024,10/31/19,,,5.779125833,30.38969994,,175.6259,,,53
EV098,CH018-CH024,11/01/19,,,6.5085,37.97824691,,247.18142,,,75
EV098,CH018-CH024,11/02/19,,,4.497706111,40.30408513,,181.27593,,,58.5
EV098,CH018-CH024,11/03/19,,,0.151895,15.92119556,,2.41835,,,
EV098,CH018-CH024,11/04/19,,,8.508574167,36.91301471,,314.0771234,,,97.5
EV098,CH018-CH024,11/05/19,,,10.27067194,31.63718093,,324.9351066,,,100.5
EV098,CH018-CH024,11/06/19,,,8.890608611,38.30013275,,340.51149,,,104.5
EV098,CH018-CH024,11/07/19,,,7.485078889,34.52156668,,258.39665,,,78
EV098,CH018-CH024,11/08/19,,,6.685781944,11.945246,,79.86331,,,22
EV098,CH018-CH024,11/14/19,,,7.912741389,32.02605488,,253.41389,,,74.5
EV098,CH018-CH024,11/15/19,,,7.901656667,36.497807,,288.39314,,,88
EV098,CH018-CH024,11/18/19,3,,5.627703333,36.76614913,,206.90898,,,66
EV098,CH018-CH024,11/21/19,2,,8.102631944,36.84242627,,298.52062,,,93.5
EV098,CH018-CH024,11/22/19,2,,9.440994722,36.8271982,,347.6853838,,,112.5
EV098,CH018-CH024,11/23/19,,,1.354486389,31.70333534,,42.9417362,,,10.5
EV098,CH018-CH024,11/27/19,2,,5.192865,39.15061339,,203.30385,,,61.5
EV098,CH018-CH024,11/28/19,1,,2.3571975,25.35727702,,59.77211,,,16
EV098,CH018-CH024,11/29/19,1,,2.218983889,38.40559656,,85.2214,,,25.5
EV098,CH018-CH024,12/02/19,2,,9.366560833,33.53770029,,314.13291,,,97
EV098,CH018-CH024,12/03/19,1,,4.319060278,12.11171103,,52.31121,,,13.5
EV098,CH018-CH024,12/04/19,2,,9.284769167,30.46026779,,282.8165552,,,85
EV098,CH018-CH024,12/05/19,2,,8.074208056,23.60529398,,190.5940548,,,53.5
EV098,CH018-CH024,12/10/19,1,,4.924618333,26.57840696,,130.8885102,,,38
EV098,CH018-CH024,12/11/19,,,0.568566944,0.325115278,,0.1848498,,,
EV098,CH018-CH024,12/12/19,2,,7.849890278,35.51734357,,278.80725,,,86.5
EV098,CH018-CH024,12/13/19,6,,8.490037222,38.82705463,,329.643139,,,106
EV098,CH018-CH024,12/14/19,,,0.292536111,2.894039292,,0.846611,,,
EV098,CH018-CH024,12/16/19,3,,6.9135675,41.55453317,,287.29007,,,90.5
EV098,CH018-CH024,12/17/19,2,,7.931645278,38.60073154,,306.16731,,,98
EV098,CH018-CH024,12/18/19,1,,4.9506275,34.90929818,,172.8229316,,,53
EV098,CH018-CH024,12/19/19,3,,10.86582056,24.50595949,,266.2773584,,,79
EV098,CH018-CH024,12/23/19,1,,1.192685278,17.75050836,,21.17077,,,4.5
EV098,CH018-CH024,12/24/19,3,,7.056355278,31.31445078,,220.96589,,,67.5
EV098,CH018-CH024,12/27/19,1,,5.1345825,41.11841992,,211.1259193,,,68
EV098,CH018-CH024,12/28/19,,,1.160619722,5.720065358,,6.638820667,,,
EV098,CH018-CH024,12/29/19,1,,1.168503889,1.23382559,,1.44173,,,
EV098,CH018-CH024,12/30/19,1,,0.347745,0.364922573,,0.1269,,,
EV098,CH018-CH024,01/02/20,1,,3.612025556,26.38717488,,95.31115,,,26.5
EV098,CH018-CH024,01/03/20,5,,8.819881389,30.36377568,,267.8049,,,77.5
EV098,CH018-CH024,01/05/20,1,,1.026963056,1.096884639,,1.12646,,,
EV098,CH018-CH024,01/06/20,3,,8.134653333,23.85892773,,194.084106,,,55
EV098,CH018-CH024,01/07/20,4,,7.461255,31.63204635,,236.014764,,,71.5
EV098,CH018-CH024,01/10/20,4,,8.118494167,25.07472394,,203.569,,,62.5
EV098,CH018-CH024,01/12/20,1,,0.6820525,0.778532444,,0.531,,,
EV098,CH018-CH024,01/14/20,2,,5.205053611,40.1344262,,208.90184,,,64
EV098,CH018-CH024,01/15/20,2,,8.483313611,39.38867939,,334.14652,,,107
EV098,CH018-CH024,01/18/20,1,,2.210178056,5.928531399,,13.10311,,,1.5
EV098,CH018-CH024,02/06/20,1,,1.114589722,12.84262659,,14.3142596,,,2.5
EV098,CH018-CH024,02/07/20,3,,8.203191111,33.45789312,,274.4614914,,,85.5
EV098,CH018-CH024,02/08/20,,,4.325360278,19.4541665,,84.146279,,,22
EV098,CH018-CH024,02/09/20,1,,0.513101111,0.563729046,,0.28925,,,
EV098,CH018-CH024,02/11/20,2,,7.433818056,35.72120787,,265.54496,,,81
EV098,CH018-CH024,02/12/20,3,,8.465466111,39.1071057,,331.059878,,,102.5
EV098,CH018-CH024,02/13/20,2,,12.47645361,22.77433162,,284.142892,,,83.5
EV098,CH018-CH024,02/14/20,2,,8.039935556,29.91956569,,240.55138,,,68.5
EV098,CH018-CH024,02/17/20,2,,7.246376667,31.13553716,,225.61983,,,69.5
EV098,CH018-CH024,02/18/20,2,,9.220374167,35.38515226,,326.2643438,,,101.5
EV098,CH018-CH024,02/19/20,2,,8.001790556,27.80531865,,222.4923362,,,63.5
EV098,CH018-CH024,02/20/20,2,,7.816463056,38.9563333,,304.50074,,,93.5
EV098,CH018-CH024,02/21/20,3,,9.041163889,32.73213091,,295.93656,,,87
EV098,CH018-CH024,02/22/20,2,,6.850200278,24.33778915,,166.71873,,,50
EV098,CH018-CH024,02/26/20,1,,1.2012925,12.2634246,,14.73196,,,2
EV098,CH018-CH024,03/09/20,1,,1.078559444,2.415583131,,2.60535,,,1
EV098,CH018-CH024,03/10/20,1,,1.900598056,6.14281908,,11.67503,,,1
EV098,CH018-CH024,03/11/20,2,,6.690067778,32.03102975,,214.28976,,,61
EV098,CH018-CH024,03/12/20,13,,4.95029,34.78074726,,172.1747853,,,48.5
EV098,CH018-CH024,03/13/20,2,,11.14580056,25.21399457,,281.0301547,,,80.5
EV098,CH018-CH024,03/17/20,2,,6.27119,34.26890431,,214.90681,,,63
EV098,CH018-CH024,03/18/20,1,,4.850962222,26.75764602,,129.80033,,,37.5
EV098,CH018-CH024,03/19/20,2,,9.331513333,35.31874612,,329.5773503,,,102
EV098,CH018-CH024,03/20/20,2,,9.521064722,30.32148799,,288.6928497,,,86.5
EV098,CH018-CH024,03/23/20,2,,8.473289167,27.94812207,,236.81252,,,71.5
EV098,CH018-CH024,03/24/20,2,,8.000278611,31.66149484,,253.30078,,,75.5
EV098,CH018-CH024,03/25/20,2,,6.669655278,34.55290272,,230.45595,,,67.5
EV098,CH018-CH024,03/26/20,2,,7.542922778,34.25334285,,258.37032,,,79
EV098,CH018-CH024,03/27/20,2,,6.379505556,36.97005323,,235.85066,,,71.5
EV098,CH018-CH024,03/28/20,2,,6.545316667,28.51203227,,186.62028,,,57
EV098,CH018-CH024,03/30/20,2,,9.7373725,28.13612707,,273.97195,,,80.5
EV098,CH018-CH024,03/31/20,2,,7.229708889,39.79852124,,287.7317228,,,89
EV098,CH018-CH024,04/01/20,2,,12.71104861,21.3822231,,271.7904772,,,79
EV098,CH018-CH024,04/02/20,2,,6.208413333,26.06199383,,161.80363,,,46.5
EV098,CH018-CH024,04/03/20,2,,8.060395278,21.69144986,,174.84166,,,48.5
EV098,CH018-CH024,04/04/20,1,,4.337045,27.1539147,,117.76775,,,34
EV098,CH018-CH024,04/06/20,1,,4.157775278,40.71746208,,169.2940572,,,53.5
EV098,CH018-CH024,04/07/20,,,0.059840556,18.68002042,,1.1178228,,,
EV098,CH018-CH024,04/12/20,1,,3.018427778,23.91916763,,72.19828,,,19.5
EV098,CH018-CH024,04/13/20,1,,7.630133889,26.98576893,,205.90503,,,63.5
EV098,CH018-CH024,04/14/20,1,,3.934892778,31.5622069,,124.1939,,,36
EV098,CH018-CH024,04/15/20,1,,3.871613889,25.96096173,,100.51082,,,28
EV098,CH018-CH024,04/16/20,1,,3.4741575,29.74401474,,103.3353919,,,29
EV098,CH018-CH024,04/17/20,1,,3.332482222,28.50444557,,94.99055812,,,26.5
EV098,CH018-CH024,04/18/20,1,,4.049042778,22.66067193,,91.75403,,,25.5
EV098,CH018-CH024,04/19/20,1,,5.442257778,24.91315471,,135.58381,,,39.5
EV098,CH018-CH024,04/20/20,3,,4.725336944,27.89166367,,131.7975088,,,39.5
EV098,CH018-CH024,04/21/20,1,,8.203175556,23.41553706,,192.0817612,,,53.5
EV098,CH018-CH024,04/22/20,1,,2.548684722,40.0661679,,102.11603,,,30.5
EV098,CH018-CH024,06/16/20,1,,2.224086389,7.217435474,,16.0522,,,2.5
EV098,CH018-CH024,06/17/20,4,,7.069743333,24.68618757,,174.52501,,,47
EV098,CH018-CH024,06/18/20,2,,3.99387,40.62429423,,162.24815,,,48.5
EV098,CH018-CH024,06/19/20,2,,5.471363611,31.95394465,,174.83165,,,50
EV098,CH018-CH024,06/22/20,2,,5.7045775,27.82054937,,158.70448,,,44.5
EV098,CH018-CH024,06/23/20,2,,6.9758375,24.99817549,,174.38321,,,49
EV098,CH018-CH024,06/24/20,2,,7.677104167,33.17233604,,254.6674792,,,74.5
EV098,CH018-CH024,06/25/20,1,,6.4090825,27.47540242,,176.0921208,,,52
EV098,CH018-CH024,06/29/20,1,,2.0899625,7.573155021,,15.82761,,,2.5
EV098,CH018-CH024,06/30/20,3,,6.660303611,27.14409441,,180.78791,,,52.5
EV098,CH018-CH024,07/01/20,2,,3.702141389,27.53251951,,101.92928,,,29
EV098,CH018-CH024,07/02/20,2,,6.402464167,33.37650699,,213.69189,,,61.5
EV098,CH018-CH024,07/03/20,2,,7.690420278,27.28384047,,209.8242,,,59.5
EV098,CH018-CH024,07/05/20,1,,3.6160775,37.34332021,,135.03634,,,39.5
EV098,CH018-CH024,07/06/20,2,,5.3935175,31.03722571,,167.39982,,,47
EV098,CH018-CH024,07/07/20,2,,7.0538575,26.26011512,,185.23511,,,52
EV098,CH018-CH024,07/08/20,2,,4.807556389,31.61343887,,151.98339,,,43
EV098,CH018-CH024,07/09/20,2,,9.044721667,21.37545047,,193.335,,,54
EV098,CH018-CH024,07/10/20,2,,8.998199167,22.99918308,,206.95123,,,58.5
EV098,CH018-CH024,07/11/20,1,,5.179174722,27.98015085,,144.91409,,,42
EV098,CH018-CH024,07/12/20,1,,0.746397778,0.950538736,,0.70948,,,
EV098,CH018-CH024,07/13/20,2,,6.277089722,24.20911549,,151.96279,,,41.5
EV098,CH018-CH024,07/14/20,3,,4.436366111,19.16642087,,85.02926,,,23.5
EV098,CH018-CH024,07/16/20,2,,5.572783056,39.65347436,,220.98021,,,70
EV098,CH018-CH024,07/17/20,2,,7.653535,22.54425047,,172.54321,,,47.5
EV098,CH018-CH024,07/18/20,1,,2.381264167,12.87780685,,30.66546,,,7
EV098,CH018-CH024,07/21/20,3,,8.712941111,23.50478758,,204.79583,,,58.5
EV098,CH018-CH024,07/22/20,2,,6.574155556,25.3762021,,166.8271,,,47
