,0
1,20.28
2,21.6
3,21.6
4,20.28
5,19.5
6,20.28
7,12.28
8,12.28
9,20.28
10,12.28
11,17.85
12,12.28
13,19.5
14,17.85
15,17.85
16,22.32
17,17.85
18,17.85
19,17.85
20,12.28
21,22.32
22,22.32
23,21.6
24,21.6
25,12.28
26,21.6
27,22.32
28,17.85
29,12.28
30,20.28
31,19.5
32,22.32
33,22.32
34,22.32
35,21.6
36,21.6
37,21.6
38,12.28
39,19.5
40,17.85
41,21.6
42,22.32
43,12.28
44,22.32
45,22.32
46,20.28
47,19.5
48,17.85
49,19.5
50,12.28
51,19.5
52,19.5
53,17.85
54,19.5
55,12.28
56,17.85
57,21.6
58,19.5
59,17.85
60,19.5
61,12.28
62,20.28
63,21.6
64,22.32
65,22.32
66,17.85
67,12.28
68,21.6
69,22.32
70,21.6
71,12.28
72,19.5
73,20.28
74,12.28
75,22.32
76,22.32
77,21.6
78,19.5
79,19.5
80,21.6
81,19.5
82,19.5
83,19.5
84,19.5
85,22.32
86,22.32
87,22.32
88,12.28
89,19.5
90,22.32
91,19.5
92,19.5
93,21.6
94,20.28
95,17.85
96,22.32
97,22.32
98,12.28
99,22.32
100,21.6
