,Camion,Estacion,Hora,Valor
"y_clh[1,1,22]",1,1,22,1
"y_clh[1,2,18]",1,2,18,1
"y_clh[1,3,24]",1,3,24,1
"y_clh[2,1,24]",2,1,24,1
"y_clh[2,2,1]",2,2,1,1
"y_clh[2,4,3]",2,4,3,1
"y_clh[3,2,4]",3,2,4,1
"y_clh[3,2,10]",3,2,10,1
"y_clh[3,2,11]",3,2,11,1
"y_clh[3,2,13]",3,2,13,1
"y_clh[3,2,15]",3,2,15,1
"y_clh[3,4,2]",3,4,2,1
"y_clh[3,4,6]",3,4,6,1
"y_clh[4,2,6]",4,2,6,1
"y_clh[4,2,10]",4,2,10,1
"y_clh[4,3,5]",4,3,5,1
"y_clh[4,3,18]",4,3,18,1
"y_clh[4,4,9]",4,4,9,1
"y_clh[4,4,20]",4,4,20,1
"y_clh[5,1,8]",5,1,8,1
"y_clh[5,2,10]",5,2,10,1
"y_clh[5,4,14]",5,4,14,1
"y_clh[6,1,1]",6,1,1,1
"y_clh[6,2,13]",6,2,13,1
"y_clh[6,3,17]",6,3,17,1
"y_clh[7,1,14]",7,1,14,1
"y_clh[7,2,11]",7,2,11,1
"y_clh[7,2,16]",7,2,16,1
"y_clh[7,2,18]",7,2,18,1
"y_clh[7,2,24]",7,2,24,1
"y_clh[7,3,20]",7,3,20,1
"y_clh[7,4,15]",7,4,15,1
"y_clh[8,1,11]",8,1,11,1
"y_clh[8,2,19]",8,2,19,1
"y_clh[8,2,20]",8,2,20,1
"y_clh[9,1,10]",9,1,10,1
"y_clh[9,2,5]",9,2,5,1
"y_clh[9,2,8]",9,2,8,1
"y_clh[9,2,19]",9,2,19,1
"y_clh[9,2,22]",9,2,22,1
"y_clh[10,2,22]",10,2,22,1
"y_clh[10,2,23]",10,2,23,1
"y_clh[10,3,1]",10,3,1,1
"y_clh[10,3,19]",10,3,19,1
"y_clh[11,1,18]",11,1,18,1
"y_clh[11,1,21]",11,1,21,1
"y_clh[11,2,22]",11,2,22,1
"y_clh[11,3,1]",11,3,1,1
"y_clh[11,3,5]",11,3,5,1
"y_clh[11,3,11]",11,3,11,1
"y_clh[11,4,15]",11,4,15,1
"y_clh[12,2,6]",12,2,6,1
"y_clh[12,2,9]",12,2,9,1
"y_clh[12,3,13]",12,3,13,1
"y_clh[12,3,15]",12,3,15,1
"y_clh[12,4,17]",12,4,17,1
"y_clh[13,1,6]",13,1,6,1
"y_clh[13,2,7]",13,2,7,1
"y_clh[13,3,8]",13,3,8,1
"y_clh[13,4,24]",13,4,24,1
"y_clh[14,2,20]",14,2,20,1
"y_clh[14,3,7]",14,3,7,1
"y_clh[14,4,1]",14,4,1,1
"y_clh[14,4,16]",14,4,16,1
"y_clh[14,4,24]",14,4,24,1
"y_clh[15,2,7]",15,2,7,1
"y_clh[15,3,16]",15,3,16,1
"y_clh[15,4,8]",15,4,8,1
"y_clh[16,3,16]",16,3,16,1
"y_clh[16,4,6]",16,4,6,1
"y_clh[16,4,12]",16,4,12,1
"y_clh[17,3,10]",17,3,10,1
"y_clh[17,4,4]",17,4,4,1
"y_clh[17,4,5]",17,4,5,1
"y_clh[17,4,12]",17,4,12,1
"y_clh[18,3,22]",18,3,22,1
