,Camion,Estacion,Hora,Valor
"x_crh[1,1,9]",1,1,9,1
"x_crh[1,3,3]",1,3,3,1
"x_crh[1,3,7]",1,3,7,1
"x_crh[2,1,9]",2,1,9,1
"x_crh[2,1,14]",2,1,14,1
"x_crh[2,1,22]",2,1,22,1
"x_crh[3,1,8]",3,1,8,1
"x_crh[3,1,16]",3,1,16,1
"x_crh[3,1,21]",3,1,21,1
"x_crh[3,1,22]",3,1,22,1
"x_crh[3,2,1]",3,2,1,1
"x_crh[3,3,9]",3,3,9,1
"x_crh[3,3,18]",3,3,18,1
"x_crh[4,1,1]",4,1,1,1
"x_crh[4,1,4]",4,1,4,1
"x_crh[4,1,13]",4,1,13,1
"x_crh[4,2,3]",4,2,3,1
"x_crh[4,2,11]",4,2,11,1
"x_crh[4,3,6]",4,3,6,1
"x_crh[6,1,2]",6,1,2,1
"x_crh[6,1,12]",6,1,12,1
"x_crh[6,1,17]",6,1,17,1
"x_crh[9,1,10]",9,1,10,1
"x_crh[9,1,12]",9,1,12,1
"x_crh[9,1,15]",9,1,15,1
"x_crh[9,3,5]",9,3,5,1
"x_crh[9,3,17]",9,3,17,1
"x_crh[11,1,10]",11,1,10,1
"x_crh[11,1,15]",11,1,15,1
"x_crh[11,2,24]",11,2,24,1
"x_crh[11,3,8]",11,3,8,1
"x_crh[11,3,13]",11,3,13,1
"x_crh[14,1,14]",14,1,14,1
"x_crh[14,1,18]",14,1,18,1
"x_crh[14,1,23]",14,1,23,1
"x_crh[14,3,4]",14,3,4,1
"x_crh[17,1,2]",17,1,2,1
"x_crh[17,1,14]",17,1,14,1
"x_crh[17,2,5]",17,2,5,1
"x_crh[18,1,5]",18,1,5,1
"x_crh[18,1,16]",18,1,16,1
"x_crh[18,3,11]",18,3,11,1
"x_crh[18,3,15]",18,3,15,1
"x_crh[19,1,11]",19,1,11,1
"x_crh[19,3,5]",19,3,5,1
"x_crh[19,3,13]",19,3,13,1
"x_crh[23,1,11]",23,1,11,1
"x_crh[23,1,21]",23,1,21,1
"x_crh[23,3,15]",23,3,15,1
"x_crh[23,3,16]",23,3,16,1
"x_crh[23,3,19]",23,3,19,1
"x_crh[23,3,23]",23,3,23,1
"x_crh[24,1,3]",24,1,3,1
"x_crh[24,1,13]",24,1,13,1
"x_crh[24,1,16]",24,1,16,1
"x_crh[24,1,24]",24,1,24,1
"x_crh[24,2,12]",24,2,12,1
"x_crh[24,3,1]",24,3,1,1
"x_crh[26,1,1]",26,1,1,1
"x_crh[26,1,10]",26,1,10,1
"x_crh[26,2,7]",26,2,7,1
"x_crh[26,2,18]",26,2,18,1
"x_crh[26,3,22]",26,3,22,1
"x_crh[26,3,23]",26,3,23,1
"x_crh[28,1,18]",28,1,18,1
"x_crh[28,1,19]",28,1,19,1
"x_crh[28,1,20]",28,1,20,1
"x_crh[28,3,12]",28,3,12,1
"x_crh[30,1,15]",30,1,15,1
"x_crh[30,3,2]",30,3,2,1
"x_crh[30,3,4]",30,3,4,1
"x_crh[30,3,14]",30,3,14,1
"x_crh[30,3,18]",30,3,18,1
"x_crh[30,3,20]",30,3,20,1
