,Camion,Hora,Valor
"t_ch[1,11]",1,11,1
"t_ch[2,19]",2,19,1
"t_ch[3,1]",3,1,1
"t_ch[4,22]",4,22,1
"t_ch[5,16]",5,16,1
"t_ch[6,7]",6,7,1
"t_ch[7,23]",7,23,1
"t_ch[8,3]",8,3,1
"t_ch[9,11]",9,11,1
"t_ch[10,9]",10,9,1
"t_ch[11,6]",11,6,1
"t_ch[12,18]",12,18,1
"t_ch[13,10]",13,10,1
"t_ch[14,2]",14,2,1
"t_ch[15,18]",15,18,1
"t_ch[16,17]",16,17,1
"t_ch[17,13]",17,13,1
"t_ch[18,6]",18,6,1
"t_ch[19,4]",19,4,1
"t_ch[20,3]",20,3,1
"t_ch[21,3]",21,3,1
"t_ch[22,17]",22,17,1
"t_ch[23,17]",23,17,1
"t_ch[24,4]",24,4,1
"t_ch[25,19]",25,19,1
"t_ch[26,11]",26,11,1
"t_ch[27,14]",27,14,1
"t_ch[28,16]",28,16,1
"t_ch[29,5]",29,5,1
"t_ch[30,22]",30,22,1
"t_ch[31,12]",31,12,1
"t_ch[32,3]",32,3,1
"t_ch[33,10]",33,10,1
"t_ch[34,20]",34,20,1
"t_ch[35,19]",35,19,1
"t_ch[36,11]",36,11,1
"t_ch[37,13]",37,13,1
"t_ch[38,16]",38,16,1
"t_ch[39,11]",39,11,1
"t_ch[40,6]",40,6,1
"t_ch[41,3]",41,3,1
"t_ch[42,9]",42,9,1
"t_ch[43,19]",43,19,1
"t_ch[44,10]",44,10,1
"t_ch[45,22]",45,22,1
"t_ch[46,2]",46,2,1
"t_ch[47,12]",47,12,1
"t_ch[48,18]",48,18,1
"t_ch[49,20]",49,20,1
"t_ch[50,16]",50,16,1
"t_ch[51,19]",51,19,1
"t_ch[52,18]",52,18,1
"t_ch[53,1]",53,1,1
"t_ch[54,11]",54,11,1
"t_ch[55,21]",55,21,1
"t_ch[56,10]",56,10,1
"t_ch[57,9]",57,9,1
"t_ch[58,1]",58,1,1
"t_ch[59,3]",59,3,1
