,0
1,0.0
2,0.0
3,0.0
4,0.0
5,63.76045
6,0.0
7,66.162922
8,66.162922
9,0.0
10,66.162922
11,61.011367
12,66.162922
13,63.76045
14,61.011367
15,61.011367
16,65.209847
17,61.011367
18,61.011367
19,61.011367
20,66.162922
21,65.209847
22,65.209847
23,0.0
24,0.0
25,66.162922
26,0.0
27,65.209847
28,61.011367
29,66.162922
30,0.0
31,63.76045
32,65.209847
33,65.209847
34,65.209847
35,0.0
36,0.0
37,0.0
38,66.162922
39,63.76045
40,61.011367
41,0.0
42,65.209847
43,66.162922
44,65.209847
45,65.209847
46,0.0
47,63.76045
48,61.011367
49,63.76045
50,66.162922
51,63.76045
52,63.76045
53,61.011367
54,63.76045
55,66.162922
56,61.011367
57,0.0
58,63.76045
59,61.011367
60,63.76045
61,66.162922
62,0.0
63,0.0
64,65.209847
65,65.209847
66,61.011367
67,66.162922
68,0.0
69,65.209847
70,0.0
71,66.162922
72,63.76045
73,0.0
74,66.162922
75,65.209847
76,65.209847
77,0.0
78,63.76045
79,63.76045
80,0.0
81,63.76045
82,63.76045
83,63.76045
84,63.76045
85,65.209847
86,65.209847
87,65.209847
88,66.162922
89,63.76045
90,65.209847
91,63.76045
92,63.76045
93,0.0
94,0.0
95,61.011367
96,65.209847
97,65.209847
98,66.162922
99,65.209847
100,0.0
